term, term, count
TSPAN7, mental_retardation, 2
INPP1, overactivity, 2
INPP1, onset_of_symptoms, 2
INPP1, perinatal_history, 2
RASSF5, bacterial_infections, 2
RASSF5, perinatal_history, 2
RASSF5, epilepsy, 2
RASSF5, medications, 2
PITX1, complaints_and_indications, 2
PITX1, onset_of_symptoms, 2
PITX1, perinatal_history, 2
KCNJ2, epilepsy, 2
KCNJ2, neurologic_indications, 2
LRP2, schizophrenia_and_disorders_with_psychotic_features, 2
LRP2, neurologic_indications, 2
KCNJ12, siezures, 2
KCNJ12, epilepsy, 2
KCNJ12, medications, 2
CD99L2, perinatal_history, 2
CD99L2, exposures, 2
CD99L2, schizophrenia_and_disorders_with_psychotic_features, 2
CD99L2, epilepsy, 2
AVPR1B, complaints_and_indications, 2
MCC, neurologic_indications, 2
DVL1, onset_of_symptoms, 2
DVL1, siezures, 2
DVL1, epilepsy, 2
WNT1, bipolar_disorder, 2
KMO, mental_disorders, 2
KMO, schizophrenia_and_disorders_with_psychotic_features, 2
PRICKLE1, complaints_and_indications, 2
PRICKLE1, comorbidities, 2
LZTR1, schizophrenia_and_disorders_with_psychotic_features, 2
LZTR1, language_development, 2
CNTNAP4, epilepsy, 2
CNTNAP4, language_ability, 2
CNTN3, attention_deficit_disorder_with_hyperactivity, 2
SOD1, central_nervous_system_diseases, 2
SOD1, onset_of_symptoms, 2
SOD1, epilepsy, 2
SOD1, rett_syndrome, 2
SOD1, exposures, 2
LEP, diabetes_mellitus_type_1, 2
ITGA4, siezures, 2
ITGA4, perinatal_history, 2
ITGA4, epilepsy, 2
ITGA4, medications, 2
ACTN4, siezures, 2
ACTN4, exposures, 2
ACTN4, autism_phenotype, 2
ACTN4, neurologic_indications, 2
PTGS2, bipolar_disorder, 2
PTGS2, mental_disorders, 2
PTGS2, restricted_range_of_interests, 2
DIAPH3, language_ability, 2
DIAPH3, visual_thinking, 2
DIAPH3, onset_of_symptoms, 2
NOS1AP, exposures, 2
SERPINE1, epilepsy, 2
SERPINE1, exposures, 2
SERPINE1, schizophrenia_and_disorders_with_psychotic_features, 2
SERPINE1, neurologic_indications, 2
NELL1, epilepsy, 2
NELL1, exposures, 2
NELL1, schizophrenia_and_disorders_with_psychotic_features, 2
OCRL, dietary_supplements, 2
OCRL, neurologic_indications, 2
OCRL, fragile_x_syndrome, 2
OCRL, epilepsy, 2
LRFN5, schizophrenia_and_disorders_with_psychotic_features, 2
LRFN5, PSD-95, 2
LRFN5, visual_thinking, 2
DOCK4, asperger_syndrome, 2
CUX2, performance_of_chores, 2
HCFC1, siezures, 2
HCFC1, perinatal_history, 2
HCFC1, epilepsy, 2
HCFC1, rett_syndrome, 2
ARHGAP32, restricted_and_repetitive_behavior, 2
ARHGAP32, comorbidities, 2
WWOX, epilepsy, 2
WWOX, down_syndrome, 2
WWOX, mental_disorders, 2
GATM, complaints_and_indications, 2
GATM, epilepsy, 2
GATM, siezures, 2
CEP41, mental_disorders, 2
HCN1, epilepsy, 2
HCN1, siezures, 2
HCN1, perinatal_history, 2
MCPH1, down_syndrome, 2
MCPH1, comorbidities, 2
KMT2A, mental_disorders, 2
DYNC1H1, epilepsy, 2
DYNC1H1, neurologic_indications, 2
SETD5, mental_disorders, 2
SETD5, dietary_supplements, 2
SMC3, complaints_and_indications, 2
SMC3, epilepsy, 2
SMC3, comorbidities, 2
KIF5C, complaints_and_indications, 2
KIF5C, epilepsy, 2
KIF5C, tuberous_sclerosis, 2
KIF5C, comorbidities, 2
LAMB1, complaints_and_indications, 2
LAMB1, dietary_supplements, 2
SMC1A, tuberous_sclerosis, 2
SMC1A, comorbidities, 2
SMC1A, siezures, 2
ADK, tuberous_sclerosis, 2
ADK, siezures, 2
ZBTB16, neurologic_indications, 2
ZBTB16, dietary_supplements, 2
MBD4, executive_function, 2
MBD4, working_memory, 2
MBD4, mental_disorders, 2
CUL7, social_competence, 2
CUL7, schizophrenia_and_disorders_with_psychotic_features, 2
CACNA1E, complaints_and_indications, 2
CACNA1E, onset_of_symptoms, 2
ANK3, complaints_and_indications, 2
ANK3, overactivity, 2
ANK3, onset_of_symptoms, 2
TRPC6, bacterial_infections, 2
TRPC6, siezures, 2
PCDH8, siezures, 2
PCDH8, epilepsy, 2
PCDH8, medications, 2
PCDH8, pica, 2
PCDH15, comorbidities, 2
ZNF292, language_ability, 2
ZNF292, overactivity, 2
ZNF292, comorbidities, 2
ZNF292, siezures, 2
TDO2, complaints_and_indications, 2
TDO2, motor_skills, 2
LPL, mental_disorders, 2
CDH11, complaints_and_indications, 2
CDH11, working_memory, 2
PLXNA4, autism_phenotype, 2
PLXNA4, mental_disorders, 2
PLXNA4, schizophrenia_and_disorders_with_psychotic_features, 2
LRFN2, ability_to_convey_information, 2
HNRNPU, epilepsy, 2
HNRNPU, mental_disorders, 2
HNRNPU, schizophrenia_and_disorders_with_psychotic_features, 2
ERBIN, complaints_and_indications, 2
AGO1, epilepsy, 2
AGO1, schizophrenia_and_disorders_with_psychotic_features, 2
TMLHE, language_ability, 2
TMLHE, complaints_and_indications, 2
TMLHE, overactivity, 2
XPO1, siezures, 2
XPO1, schizophrenia_and_disorders_with_psychotic_features, 2
PXDN, medications, 2
PXDN, working_memory, 2
ABCA7, onset_of_symptoms, 2
ABCA7, hospitalizations, 2
